rd_inv,milepost,caseno,accyr,rte_nbr,county,func_cls,month,daymth,acctype,severity,loc_type,rd_char1,rdsurf,light,weather
005,247.26,2009000320,2009,005,37,01,01,02,33,1,4,4,4,2,04
005,252.5,2009000321,2009,005,37,11,01,01,06,1,4,2,2,1,03
005,262.6,2009000322,2009,005,37,11,01,27,02,1,4,1,3,1,04
009,84.11,2009000323,2009,009,37,07,01,01,06,1,4,1,2,6,03
405,15.08,2009000324,2009,405,17,11,01,26,04,1,4,1,1,1,01
090,5.01,2009000325,2009,090,17,11,01,01,33,1,4,1,2,1,03
090,4.64,2009000326,2009,090,17,11,01,01,33,6,4,5,2,4,03
005,149.14,2009000327,2009,005,17,11,01,01,33,1,5,1,2,1,01
002,308.52,2009000328,2009,002,26,02,01,01,50,6,4,5,3,6,02
285COWENTCH,1.33,2009000329,2009,285,04,14,01,01,06,7,1,1,3,1,02
410,0.27,2009000330,2009,410,27,12,01,20,12,1,4,1,4,4,05
012,98.35,2009000331,2009,012,21,02,01,02,16,1,4,6,4,6,02
012,7.81,2009000332,2009,012,14,02,01,01,12,6,1,1,2,4,03
161,33.35,2009000333,2009,161,27,14,01,01,06,7,1,1,2,4,03
101,312.59,2009000334,2009,101,16,02,01,27,33,1,4,6,3,1,04
003,45.45,2009000335,2009,003,18,12,01,01,33,1,4,2,3,3,04
020,304.38,2009000336,2009,020,10,06,01,01,05,1,4,1,3,1,04
014,85.83,2009000337,2009,014,20,02,01,01,34,1,4,2,2,6,03
018,0.42,2009000338,2009,018,17,12,01,01,16,7,1,1,2,4,02
005,157.67,2009000339,2009,005,17,11,01,21,04,1,4,1,1,1,01
005,149.18,2009000340,2009,005,17,11,01,01,34,7,4,1,2,1,03
005,154.5,2009000341,2009,005,17,11,01,20,04,1,4,1,2,4,05
005,150.37,2009000342,2009,005,17,11,01,28,14,1,4,5,1,4,02
005,158.56,2009000343,2009,005,17,11,01,01,33,5,4,1,2,4,03
705LX00072,0.06,2009000344,2009,705,27,11,01,01,03,7,1,1,2,4,03
007,54.1,2009000345,2009,007,27,14,01,01,03,1,1,1,2,4,03
005R313418,0.3,2009000346,2009,005,27,11,01,30,50,1,1,1,1,1,02
005,193.68,2009000348,2009,005,31,11,01,01,06,7,4,1,2,4,03
005,180.48,2009000349,2009,005,31,11,01,02,16,7,5,1,1,1,01
005,135.19,2009000350,2009,005,27,11,01,01,33,1,4,1,2,1,03
900,5.29,2009000351,2009,900,17,14,01,01,06,7,1,6,2,1,03
125,5.82,2009000352,2009,125,36,14,01,23,02,1,1,1,4,4,05
507,3.95,2009000353,2009,507,21,16,01,19,13,1,1,1,1,1,01
167LX01577,0,2009000354,2009,167,17,12,01,01,06,1,1,1,2,4,03
164,1.76,2009000355,2009,164,17,16,01,19,04,1,1,2,1,3,01
090,11.65,2009000356,2009,090,17,11,01,28,04,1,4,1,1,6,01
005LX18390,0.01,2009000357,2009,005,31,11,01,01,04,1,1,1,2,4,03
